"hourly_wage","age","occupation","race","education","sex","hispanic","marital_status","veteran_status","union","pension","citizenship_status","hours_weekly","state","total_income","employer_type","worker_status"
21,57,"Office And Administrative Support","White","Associate's degree","Female",0,"Married",0,"No",0,1,32,"Alabama",35101,"Private employer","Part-time"
15.75,52,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,32,"Alabama",23412,"Private employer","Part-time"
23,61,"Installation, Maintenance, And Repair","White","High school diploma or equivalent","Male",0,"Married",0,"Yes",0,1,40,"Alabama",86312,"Private employer","Full-time"
24,26,"Installation, Maintenance, And Repair","White","High school diploma or equivalent","Male",0,"Single",0,"Yes",0,1,40,"Alabama",56844,"Private employer","Full-time"
10,24,"Production","White","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,24,"Alabama",12492,"Private employer","Part-time"
40,58,"Healthcare Practitioners And Technical","White","Associate's degree","Female",0,"Single",0,"No",1,1,36,"Alabama",850000,"Private employer","Full-time"
22.04,39,"Office And Administrative Support","White","Some college, no degree","Male",0,"Single",0,"No",1,1,40,"Alabama",17000,"Private employer","Full-time"
26,51,"Sales And Related","White","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"Alabama",57501,"Private employer","Full-time"
26,49,"Sales And Related","White","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"Alabama",8802,"Private employer","Full-time"
22.04,36,"Office And Administrative Support","White","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"Alabama",15002,"Private employer","Full-time"
20,31,"Sales And Related","White","Graduate degree","Female",0,"Single",0,"No",0,1,40,"Alabama",20000,"Private employer","Full-time"
21,46,"Healthcare Practitioners And Technical","White","Associate's degree","Male",0,"Married",0,"No",1,1,40,"Alabama",80200,"Private employer","Full-time"
12,46,"Production","Black","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,45,"Alabama",39000,"Private employer","Full-time"
14.5,31,"Extraction","Black","High school diploma or equivalent","Male",0,"Married",0,"Yes",0,1,40,"Alabama",6000,"Private employer","Full-time"
14.4,21,"Healthcare Support","White","Some college, no degree","Female",0,"Single",0,"No",0,1,36,"Alabama",21600,"Private employer","Full-time"
14,21,"Sales And Related","White","Some college, no degree","Female",0,"Single",0,"No",0,1,40,"Alabama",291210,"Private employer","Full-time"
39.5,39,"Community And Social Services","White","Graduate degree","Female",1,"Married",0,"Yes",1,1,40,"Alabama",90800,"Government employee","Full-time"
29,38,"Computer And Mathematical","White","Graduate degree","Male",0,"Married",0,"No",1,1,40,"Alabama",124800,"Private employer","Full-time"
14.5,37,"Education, Training, And Library","White","Some college, no degree","Female",0,"Married",0,"No",0,1,40,"Alabama",30048,"Private employer","Full-time"
15,39,"Healthcare Practitioners And Technical","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",32000,"Private employer","Full-time"
10,16,"Personal Care And Service","White","High school or less","Female",0,"Single",NA,"No",0,1,15,"Alabama",1800,"Private employer","Part-time"
12.5,35,"Construction","White","High school or less","Male",1,"Single",0,"No",0,0,40,"Alabama",26000,"Private employer","Full-time"
18,38,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Married",0,"No",1,1,40,"Alabama",33280,"Private employer","Full-time"
17,39,"Installation, Maintenance, And Repair","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",33280,"Private employer","Full-time"
10,43,"Education, Training, And Library","White","Bachelor's degree","Female",0,"Married",0,"No",0,1,10,"Alabama",301,"Private employer","Part-time"
11,64,"Transportation And Material Moving","White","High school or less","Male",0,"Single",0,"No",0,1,20,"Alabama",12005,"Private employer","Part-time"
99.99,76,"Community And Social Services","White","Graduate degree","Male",0,"Single",0,"No",0,1,15,"Alabama",929441,"Private employer","Part-time"
25,62,"Construction","White","High school diploma or equivalent","Male",0,"Married",1,"No",0,1,45,"Alabama",75000,"Private employer","Full-time"
23,63,"Office And Administrative Support","Black","Associate's degree","Female",0,"Married",0,"No",0,1,40,"Alabama",92630,"Private employer","Full-time"
14,42,"Construction","White","High school or less","Male",0,"Divorced",0,"No",0,1,40,"Alabama",35000,"Private employer","Full-time"
19,42,"Transportation And Material Moving","Black","Graduate degree","Female",0,"Divorced",0,"No",1,1,40,"Alabama",29001,"Private employer","Full-time"
9,42,"Personal Care And Service","White","High school or less","Female",0,"Single",0,"No",0,1,24,"Alabama",24336,"Private employer","Part-time"
18,37,"Farming, Fishing, And Forestry","Black","Associate's degree","Male",0,"Divorced",0,"No",0,1,NA,"Alabama",10000,"Private employer","Part-time"
20.2,34,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,50,"Alabama",14040,"Private employer","Full-time"
1.75,41,"Sales And Related","White","Some college, no degree","Female",0,"Divorced",0,"No",0,1,NA,"Alabama",50000,"Private employer","Part-time"
15,69,"Office And Administrative Support","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,30,"Alabama",64320,"Private employer","Part-time"
30,57,"Construction","Black","Graduate degree","Male",0,"Divorced",0,"No",0,1,40,"Alabama",141600,"Private employer","Full-time"
35,62,"Production","White","High school diploma or equivalent","Male",1,"Married",0,"No",0,1,40,"Alabama",48500,"Private employer","Full-time"
13.5,61,"Production","White","High school diploma or equivalent","Female",1,"Married",0,"No",1,1,40,"Alabama",45000,"Private employer","Full-time"
46,71,"Community And Social Services","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,10,"Alabama",54785,"Private employer","Part-time"
40,39,"Management, Business, Science, And Arts","White","Some college, no degree","Male",0,"Divorced",0,"No",1,1,50,"Alabama",186501,"Private employer","Full-time"
11,27,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,40,"Alabama",21600,"Government employee","Full-time"
12,16,"Construction","White","High school or less","Male",1,"Single",NA,"No",0,0,40,"Alabama",35000,"Private employer","Full-time"
16,30,"Office And Administrative Support","White","High school or less","Female",1,"Separated",0,"No",1,0,40,"Alabama",17000,"Private employer","Full-time"
50,59,"Office And Administrative Support","White","Bachelor's degree","Male",0,"Divorced",0,"No",0,1,40,"Alabama",49555,"Private employer","Full-time"
8,24,"Sales And Related","White","Some college, no degree","Female",0,"Single",0,"No",1,1,10,"Alabama",21199,"Private employer","Part-time"
35,55,"Production","White","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,40,"Alabama",51208,"Private employer","Full-time"
14,73,NA,"White","High school diploma or equivalent","Female",0,"Divorced",0,"No",NA,1,5,"Alabama",57285,"Private employer","Part-time"
18.5,38,"Installation, Maintenance, And Repair","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",1e+05,"Private employer","Full-time"
15,60,"Sales And Related","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,40,"Alabama",12000,"Private employer","Full-time"
17,37,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,30,"Alabama",20009,"Private employer",NA
60,54,"Transportation And Material Moving","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alabama",23000,"Private employer","Full-time"
14.58,24,"Education, Training, And Library","White","Bachelor's degree","Female",0,"Single",0,"No",1,1,40,"Alabama",34010,"Government employee","Full-time"
16,42,"Production","White","Some college, no degree","Male",0,"Married",0,"No",1,1,40,"Alabama",51005,"Private employer","Full-time"
17,39,"Production","White","Some college, no degree","Female",0,"Married",0,"No",1,1,40,"Alabama",44001,"Private employer","Full-time"
10.67,25,"Healthcare Practitioners And Technical","White","Bachelor's degree","Female",0,"Married",0,"No",0,1,40,"Alabama",32010,"Private employer","Full-time"
10.75,20,NA,"Black","Some college, no degree","Male",0,"Single",0,"No",NA,1,15,"Alabama",1,"Private employer","Part-time"
11,50,"Office And Administrative Support","Black","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,30,"Alabama",45000,"Private employer","Part-time"
12.8,20,"Office And Administrative Support","Black","High school or less","Male",0,"Single",0,"No",0,1,55,"Alabama",44504,"Private employer","Full-time"
20,32,"Sales And Related","Black","Some college, no degree","Male",0,"Married",0,"No",1,1,40,"Alabama",28262,"Private employer","Full-time"
14,21,"Transportation And Material Moving","Black","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,30,"Alabama",35200,"Private employer","Part-time"
42,54,"Protective Service","Black","Graduate degree","Male",0,"Divorced",0,"No",1,1,50,"Alabama",68155,"Government employee","Full-time"
41,38,"Community And Social Services","Black","Bachelor's degree","Male",0,"Single",1,"No",0,1,40,"Alabama",162430,"Private employer","Full-time"
13.5,65,"Transportation And Material Moving","White","Some college, no degree","Female",0,"Widowed",0,"No",1,1,40,"Alaska",29334,"Private employer","Full-time"
10,36,"Food Preparation And Serving","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,20,"Alaska",14000,"Private employer","Part-time"
29,36,"Construction","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,NA,"Alaska",30000,"Private employer","Part-time"
10.44,19,"Transportation And Material Moving","White","High school diploma or equivalent","Female",0,"Single",0,"Yes",0,1,35,"Alaska",31000,"Private employer","Full-time"
13,31,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Single",0,"No",1,1,40,"Alaska",42100,"Private employer","Part-time"
21,26,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Married",0,"No",1,1,40,"Alaska",53501,"Private employer","Full-time"
21,32,"Sales And Related","White","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alaska",32401,"Private employer","Full-time"
25,44,"Building And Grounds Cleaning And Maintenance","Native American","High school diploma or equivalent","Male",0,"Divorced",1,"No",0,1,5,"Alaska",13840,"Government employee","Part-time"
11,26,"Community And Social Services","Native American","Some college, no degree","Female",0,"Single",0,"No",1,1,40,"Alaska",40000,"Private employer","Full-time"
16.8,22,"Transportation And Material Moving","Native American","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,NA,"Alaska",5000,"Government employee","Part-time"
20,30,"Healthcare Practitioners And Technical","Native American","Bachelor's degree","Female",0,"Married",0,"No",1,1,40,"Alaska",45000,"Private employer","Part-time"
11,28,"Transportation And Material Moving","Asian or Pacific Islander","High school diploma or equivalent","Male",0,"Married",0,"No",0,1,40,"Alaska",30050,"Private employer","Part-time"
22.04,44,"Office And Administrative Support","Native American","High school diploma or equivalent","Male",0,"Separated",0,"No",1,1,40,"Alaska",65000,"Private employer","Full-time"
21.15,36,"Transportation And Material Moving","White","Some college, no degree","Male",0,"Married",0,"No",0,1,40,"Alaska",30004,"Private employer","Full-time"
22.5,27,"Office And Administrative Support","White","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,NA,"Alaska",241,"Private employer","Part-time"
13.49,37,"Construction","White","Bachelor's degree","Male",0,"Married",0,"No",0,1,40,"Alaska",61926,"Government employee","Full-time"
10.67,34,"Community And Social Services","White","Graduate degree","Female",0,"Married",0,"No",0,1,40,"Alaska",75001,"Private employer","Full-time"
21,71,"Business Operations Specialists","White","Some college, no degree","Male",0,"Divorced",1,"No",0,1,40,"Alaska",76818,"Private employer","Part-time"
50,64,"Office And Administrative Support","White","Bachelor's degree","Male",0,"Married",0,"No",0,1,40,"Alaska",100601,"Government employee","Full-time"
15,38,"Sales And Related","Asian or Pacific Islander","Associate's degree","Female",0,"Married",0,"No",0,0,40,"Alaska",30052,"Private employer","Full-time"
40,52,"Sales And Related","Asian or Pacific Islander","High school diploma or equivalent","Male",0,"Married",0,"No",0,0,40,"Alaska",35001,"Private employer","Full-time"
13,16,"Sales And Related","Asian or Pacific Islander","High school or less","Female",0,"Single",NA,"No",0,0,24,"Alaska",10000,"Private employer","Part-time"
38,60,"Sales And Related","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,40,"Alaska",86114,"Private employer","Full-time"
17,63,"Personal Care And Service","Asian or Pacific Islander","High school diploma or equivalent","Female",0,"Separated",0,"No",0,0,24,"Alaska",32410,"Private employer","Part-time"
19,22,"Construction","Asian or Pacific Islander","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,30,"Alaska",25000,"Private employer","Part-time"
60,64,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Graduate degree","Female",0,"Married",0,"No",0,1,46,"Alaska",148027,"Private employer","Full-time"
44.29,52,"Construction","White","High school diploma or equivalent","Male",0,"Married",0,"Yes",1,1,40,"Alaska",70050,"Private employer","Full-time"
13.75,15,NA,"Two or More Races","High school or less","Male",1,"Single",NA,"No",NA,1,8,"Alaska",0,"Private employer","Part-time"
46,56,"Healthcare Practitioners And Technical","Asian or Pacific Islander","Associate's degree","Female",0,"Widowed",0,"No",0,0,40,"Alaska",82615,"Private employer","Full-time"
16,21,"Office And Administrative Support","White","High school or less","Female",0,"Single",0,"No",0,1,40,"Alaska",27005,"Private employer","Full-time"
14.5,27,"Sales And Related","White","High school or less","Female",0,"Single",0,"No",0,1,40,"Alaska",20005,"Private employer","Full-time"
17,21,"Office And Administrative Support","White","High school or less","Female",0,"Single",0,"No",0,1,40,"Alaska",18005,"Private employer","Full-time"
15.5,19,"Management, Business, Science, And Arts","White","High school or less","Male",0,"Single",0,"No",0,1,32,"Alaska",30005,"Private employer","Part-time"
25.3,25,"Construction","White","High school diploma or equivalent","Male",1,"Separated",0,"No",0,1,50,"Alaska",60000,"Private employer","Full-time"
28.5,52,"Construction","White","High school diploma or equivalent","Male",1,"Separated",0,"No",0,1,50,"Alaska",65000,"Private employer","Full-time"
12.5,43,"Office And Administrative Support","White","Associate's degree","Female",0,"Married",0,"No",1,1,40,"Alaska",33944,"Private employer","Full-time"
16,20,"Sales And Related","White","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,40,"Alaska",28114,"Private employer","Full-time"
27,40,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Married",0,"No",1,1,40,"Alaska",61144,"Private employer","Full-time"
23,34,"Construction","White","High school diploma or equivalent","Male",0,"Married",1,"No",0,1,40,"Alaska",53119,"Private employer","Full-time"
22,53,"Management, Business, Science, And Arts","Native American","Associate's degree","Male",0,"Widowed",0,"No",0,1,40,"Alaska",45011,"Private employer","Full-time"
22,21,"Construction","White","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,40,"Alaska",21000,"Private employer","Full-time"
16,19,"Office And Administrative Support","White","High school diploma or equivalent","Female",0,"Single",0,"No",0,1,40,"Alaska",35001,"Government employee","Full-time"
34.5,29,"Architecture And Engineering","White","Bachelor's degree","Male",0,"Single",0,"No",0,1,40,"Alaska",72001,"Private employer","Full-time"
34,30,"Healthcare Practitioners And Technical","Native American","Associate's degree","Female",0,"Single",0,"No",0,1,20,"Alaska",70102,"Private employer","Part-time"
25,62,"Financial Specialists","White","Bachelor's degree","Female",0,"Married",0,"No",1,1,10,"Alaska",106540,"Private employer","Part-time"
37,25,"Healthcare Practitioners And Technical","White","Bachelor's degree","Female",0,"Single",0,"Yes",1,1,36,"Alaska",42530,"Private employer","Full-time"
22.63,23,"Healthcare Practitioners And Technical","White","Bachelor's degree","Female",0,"Single",0,"Yes",1,1,30,"Alaska",40000,"Private employer","Part-time"
22.63,23,"Healthcare Practitioners And Technical","Native American","Bachelor's degree","Female",0,"Single",0,"Yes",1,1,30,"Alaska",37000,"Private employer","Part-time"
20,32,"Financial Specialists","White","Bachelor's degree","Male",0,"Separated",0,"No",1,1,40,"Alaska",100001,"Private employer","Full-time"
14,23,"Sales And Related","White","Some college, no degree","Male",0,"Single",0,"No",0,1,40,"Alaska",20819,"Private employer","Full-time"
48,39,"Healthcare Practitioners And Technical","White","Associate's degree","Male",0,"Married",0,"No",0,1,50,"Alaska",120004,"Private employer","Full-time"
31,41,"Healthcare Practitioners And Technical","White","Graduate degree","Female",0,"Married",0,"No",0,1,40,"Alaska",75003,"Private employer","Full-time"
32,29,"Healthcare Practitioners And Technical","White","Bachelor's degree","Female",1,"Married",0,"No",1,1,40,"Alaska",39885,"Private employer","Part-time"
15,65,"Management, Business, Science, And Arts","White","Bachelor's degree","Female",0,"Married",1,"No",1,1,40,"Alaska",45706,"Government employee","Full-time"
13.25,58,"Office And Administrative Support","White","Some college, no degree","Female",0,"Divorced",0,"No",0,1,38,"Alaska",40014,"Government employee","Full-time"
17.5,38,"Food Preparation And Serving","White","Some college, no degree","Female",0,"Single",0,"No",0,1,25,"Alaska",16001,"Private employer",NA
30,60,"Protective Service","White","Bachelor's degree","Male",0,"Married",0,"No",0,1,24,"Alaska",102802,"Private employer","Part-time"
32,34,"Construction","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,45,"Alaska",56002,"Private employer","Full-time"
45,68,"Personal Care And Service","Native American","Graduate degree","Male",0,"Separated",0,"No",0,1,NA,"Alaska",40000,"Private employer","Part-time"
14,60,"Management, Business, Science, And Arts","White","High school diploma or equivalent","Female",0,"Married",0,"No",0,1,40,"Alaska",30001,"Private employer","Full-time"
15,47,"Sales And Related","White","High school diploma or equivalent","Female",1,"Divorced",0,"No",1,1,40,"Alaska",25114,"Private employer","Full-time"
19,24,"Community And Social Services","Native American","High school diploma or equivalent","Male",0,"Single",0,"No",0,1,40,"Alaska",32714,"Government employee","Part-time"
22,40,"Computer And Mathematical","White","High school diploma or equivalent","Male",0,"Married",0,"No",1,1,40,"Alaska",46401,"Private employer","Full-time"
10.34,19,"Office And Administrative Support","White","High school diploma or equivalent","Male",0,"Single",0,"No",1,1,30,"Alaska",20000,"Private employer","Part-time"
26.5,56,"Office And Administrative Support","Black","Bachelor's degree","Male",0,"Married",1,"No",1,1,40,"Alaska",90030,"Government employee","Full-time"
15,21,"Office And Administrative Support","Black","Some college, no degree","Female",0,"Single",0,"No",1,1,NA,"Alaska",18001,"Private employer","Part-time"
14,46,"Installation, Maintenance, And Repair","White","High school or less","Male",0,"Married",0,"No",0,1,50,"Alaska",35000,"Private employer","Full-time"
22.57,27,"Healthcare Practitioners And Technical","White","Some college, no degree","Male",0,"Married",0,"No",1,1,45,"Alaska",42109,"Private employer","Full-time"
18.91,74,"Sales And Related","Asian or Pacific Islander","High school diploma or equivalent","Female",0,"Widowed",0,"No",0,1,20,"Alaska",43782,"Private employer","Part-time"
13,25,"Sales And Related","White","Associate's degree","Female",0,"Separated",0,"No",0,1,40,"Alaska",35000,"Private employer","Full-time"
20,33,"Community And Social Services","White","Bachelor's degree","Female",0,"Married",1,"Yes",1,1,36,"Alaska",33801,"Government employee","Full-time"
15,39,"Sales And Related","White","Bachelor's degree","Male",0,"Married",1,"No",0,1,20,"Alaska",109903,"Private employer","Part-time"
28,62,"Installation, Maintenance, And Repair","White","Bachelor's degree","Male",1,"Married",1,"No",1,1,40,"Alaska",75705,"Private employer","Full-time"
30,35,"Protective Service","White","Bachelor's degree","Female",0,"Divorced",1,"No",1,1,40,"Alaska",26520,"Government employee","Full-time"
20,23,"Life, Physical, And Social Science","White","Bachelor's degree","Male",0,"Single",0,"No",0,1,20,"Alaska",30000,"Government employee","Part-time"
